trial_id,seed,scenario,true_size,estimated_size,ci_lower,ci_upper,true_in_ci,relative_error
0,0,clustered_10pct,100,102,91.00,114.00,true,0.020000
1,7919,clustered_10pct,100,99,89.00,111.00,true,0.010000
2,15838,clustered_10pct,100,104,93.00,116.00,true,0.040000
3,23757,clustered_10pct,100,104,93.00,116.00,true,0.040000
4,31676,clustered_10pct,100,94,84.00,105.00,true,0.060000
5,39595,clustered_10pct,100,101,90.00,113.00,true,0.010000
6,47514,clustered_10pct,100,90,81.00,101.00,true,0.100000
7,55433,clustered_10pct,100,96,86.00,107.00,true,0.040000
8,63352,clustered_10pct,100,97,87.00,109.00,true,0.030000
9,71271,clustered_10pct,100,92,82.00,103.00,true,0.080000
10,79190,clustered_10pct,100,110,98.00,123.00,true,0.100000
11,87109,clustered_10pct,100,94,84.00,105.00,true,0.060000
12,95028,clustered_10pct,100,111,100.00,125.00,true,0.110000
13,102947,clustered_10pct,100,95,85.00,106.00,true,0.050000
14,110866,clustered_10pct,100,103,92.00,116.00,true,0.030000
15,118785,clustered_10pct,100,98,88.00,110.00,true,0.020000
16,126704,clustered_10pct,100,108,97.00,121.00,true,0.080000
17,134623,clustered_10pct,100,106,95.00,119.00,true,0.060000
18,142542,clustered_10pct,100,98,88.00,110.00,true,0.020000
19,150461,clustered_10pct,100,106,95.00,119.00,true,0.060000
20,158380,clustered_10pct,100,105,94.00,118.00,true,0.050000
21,166299,clustered_10pct,100,92,82.00,103.00,true,0.080000
22,174218,clustered_10pct,100,103,92.00,115.00,true,0.030000
23,182137,clustered_10pct,100,99,88.00,111.00,true,0.010000
24,190056,clustered_10pct,100,97,87.00,109.00,true,0.030000
25,197975,clustered_10pct,100,110,98.00,123.00,true,0.100000
26,205894,clustered_10pct,100,108,97.00,121.00,true,0.080000
27,213813,clustered_10pct,100,93,83.00,105.00,true,0.070000
28,221732,clustered_10pct,100,101,91.00,113.00,true,0.010000
29,229651,clustered_10pct,100,106,95.00,119.00,true,0.060000
30,237570,clustered_10pct,100,96,85.00,107.00,true,0.040000
31,245489,clustered_10pct,100,98,87.00,109.00,true,0.020000
32,253408,clustered_10pct,100,106,95.00,119.00,true,0.060000
33,261327,clustered_10pct,100,92,82.00,103.00,true,0.080000
34,269246,clustered_10pct,100,94,84.00,105.00,true,0.060000
35,277165,clustered_10pct,100,103,92.00,115.00,true,0.030000
36,285084,clustered_10pct,100,97,87.00,109.00,true,0.030000
37,293003,clustered_10pct,100,94,84.00,105.00,true,0.060000
38,300922,clustered_10pct,100,101,90.00,113.00,true,0.010000
39,308841,clustered_10pct,100,91,81.00,102.00,true,0.090000
40,316760,clustered_10pct,100,97,87.00,109.00,true,0.030000
41,324679,clustered_10pct,100,99,88.00,110.00,true,0.010000
42,332598,clustered_10pct,100,107,96.00,120.00,true,0.070000
